run_id,converged,final_nll,elapsed_time,n2,N2,k_max,tau,r21,r23,R21,R23,burst_size,n_inner,alpha,beta_k,beta_tau,n2_truth,N2_truth,k_max_truth,tau_truth,r21_truth,r23_truth,R21_truth,R23_truth,burst_size_truth,n_inner_truth,alpha_truth,beta_k_truth,beta_tau_truth
40,True,36812.34150749381,24863.33110642433,7.161917089366131,186.97389545010043,0.029699599335323776,176.95883479371054,2.342096873573284,2.061099198041742,2.0254633042182473,4.2419294498100815,34.91116093647979,64.32365393155091,1.3526730030424756,0.2625658799033699,2.0360444045869612,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
50,True,36843.290882900095,24872.746972084045,1.0191430046691128,364.0025849568882,0.07317427508403075,237.22058303133184,3.5653892227212296,0.13781830751157376,1.171587220375958,1.4749923175846895,4.543552134267404,37.97981818444881,1.238021354995194,0.28724416613369597,2.203175584118256,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
55,True,36777.377404919134,24934.651596546173,10.595972941239568,174.12301595151428,0.011074392591454013,69.207802796505,3.0892910334814285,2.4427107862201196,1.6047444803291442,2.414043398970494,9.200025711417346,21.97122660793968,1.403360506486322,0.6888982135303691,2.445066425318329,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
29,True,36754.515758747206,24951.548588752747,2.5080254191898366,227.4202231007469,0.019585249340815306,56.808815878909186,2.5311568528313497,2.6283072587748646,1.4883516109305908,2.843391093300169,16.746027607944313,23.338552381305924,1.1356338699183268,0.6787096255494732,2.791838600050257,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
21,True,36788.71467256496,25013.662302017212,10.554719028002147,485.8739747358429,0.004520628480893796,8.494479370838533,2.4408275380051347,2.6945159537687244,1.3571952948705366,3.1905466141577175,38.395167075731564,92.42216422485924,0.607911473156387,0.65913119522062,2.5578036054171935,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
39,True,36732.33187118716,25040.652169942856,7.674637045268119,130.31922966822904,0.010683818229737324,63.44710727014613,2.632322339096786,1.107232952674295,1.3545782439796994,1.698410230941538,8.99755764859006,33.08030992577593,0.8821629763637886,0.6911344177167249,2.332289119764243,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
68,True,36705.584495994684,25610.658179044724,6.318389632376017,241.42543208749277,0.013854118627171237,34.661006507089894,4.241614048936248,2.8863766999916707,1.9456210708537705,2.9160160219270352,25.2297985260451,15.031753994629241,0.7570887971206031,0.6763399071015632,2.8802975689952586,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
25,True,36629.60411023941,25943.49402999878,11.157424076421313,469.29999928171,0.006736756986906687,45.553769001282745,3.453477808480601,3.6580650888484594,1.7739715191176224,3.0256897369608065,40.38373008354501,38.488544620860594,1.0592533645726212,0.619666188982604,2.9172188453735477,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
61,True,36839.4701205275,25966.799265623093,1.9756111674530334,153.33896289534567,0.018656306647329743,68.49534807320947,3.7832749416370097,3.276299046993952,1.7444210609496742,3.765474297789136,13.354513911943648,16.904190051108174,1.4944140425223407,0.6507819901940117,2.1003254436677508,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
16,True,36823.57923691592,26286.292865514755,5.864718781833891,223.74193970907504,0.02849793852612119,7.139298904989559,4.0041838044937865,1.2615026353918228,2.553163365071676,4.595264841447323,15.486366083017575,4.62255540552961,0.9644717565543881,0.807922441648532,2.5286639703575142,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
10,True,36737.47800245779,26369.580907344818,6.241157991330791,252.25860371553824,0.020652810855224787,56.08883302204667,3.187986839958505,1.0842166435879077,1.7312418653764818,2.393382861969808,10.152323717116657,19.959461130781918,0.8477593270044097,0.5652194359367726,2.262867563979727,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
67,True,36892.229605330576,26685.87885069847,4.952179723611475,432.72634718193063,0.010666065540866257,145.1684080722031,4.873486577556539,1.7909099568010827,1.925068150832686,1.9242127657288273,45.10235546394375,75.44357869312478,1.84697148405959,0.3214914642523654,2.1883687656254436,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
72,True,36896.63016815744,26772.25174331665,2.8879376166366066,223.39031570266872,0.06013032079877058,200.66118209778955,0.4330552239013885,2.3559495152168504,1.5235640371374113,3.065888509601145,35.58323196745351,46.90360007839671,0.40290448645940713,0.24079087313355685,2.4335279439912503,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
41,True,36737.47800245779,26859.7542617321,6.241157991330791,252.25860371553824,0.020652810855224787,56.08883302204667,3.187986839958505,1.0842166435879077,1.7312418653764818,2.393382861969808,10.152323717116657,19.959461130781918,0.8477593270044097,0.5652194359367726,2.262867563979727,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
31,True,36823.57923691592,26869.375376224518,5.864718781833891,223.74193970907504,0.02849793852612119,7.139298904989559,4.0041838044937865,1.2615026353918228,2.553163365071676,4.595264841447323,15.486366083017575,4.62255540552961,0.9644717565543881,0.807922441648532,2.5286639703575142,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
18,True,36759.29853601723,26898.298895597458,7.01953633417919,451.646771593299,0.010805778924204,55.27357543795233,4.362761439295806,0.3738429913684622,1.8967841099359175,2.80313023311615,23.0768778415873,80.28362906909432,1.1611685554460154,0.7013579919075665,2.465260929849006,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
4,True,36823.57923691592,26910.112896203995,5.864718781833891,223.74193970907504,0.02849793852612119,7.139298904989559,4.0041838044937865,1.2615026353918228,2.553163365071676,4.595264841447323,15.486366083017575,4.62255540552961,0.9644717565543881,0.807922441648532,2.5286639703575142,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
71,True,36823.57923691592,26920.063252210617,5.864718781833891,223.74193970907504,0.02849793852612119,7.139298904989559,4.0041838044937865,1.2615026353918228,2.553163365071676,4.595264841447323,15.486366083017575,4.62255540552961,0.9644717565543881,0.807922441648532,2.5286639703575142,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
6,True,36737.47800245779,27044.619827747345,6.241157991330791,252.25860371553824,0.020652810855224787,56.08883302204667,3.187986839958505,1.0842166435879077,1.7312418653764818,2.393382861969808,10.152323717116657,19.959461130781918,0.8477593270044097,0.5652194359367726,2.262867563979727,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
7,True,36878.672681662414,27087.163248300552,1.6941760137373159,490.21025121455847,0.06696389069851875,185.01924843913775,3.8133876381527916,1.0948237639405993,0.9818312876193884,1.427315580432676,11.74159792682644,30.097870463235807,1.114283784504554,0.1976409845854038,2.3719167326927333,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
57,True,36823.57923691592,27124.54556131363,5.864718781833891,223.74193970907504,0.02849793852612119,7.139298904989559,4.0041838044937865,1.2615026353918228,2.553163365071676,4.595264841447323,15.486366083017575,4.62255540552961,0.9644717565543881,0.807922441648532,2.5286639703575142,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
28,True,36737.47800245779,27247.50027513504,6.241157991330791,252.25860371553824,0.020652810855224787,56.08883302204667,3.187986839958505,1.0842166435879077,1.7312418653764818,2.393382861969808,10.152323717116657,19.959461130781918,0.8477593270044097,0.5652194359367726,2.262867563979727,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
12,True,36888.407894725155,27504.837172985077,16.72850189224255,314.3246373089767,0.019934458807470915,191.12094128976742,1.136970306192865,1.107019206367145,1.721370213047573,3.15244631540459,47.64875915244537,40.43284594254839,1.5790307279894318,0.3437710844954101,2.27349423241099,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
14,True,36737.47800245779,27642.25498199463,6.241157991330791,252.25860371553824,0.020652810855224787,56.08883302204667,3.187986839958505,1.0842166435879077,1.7312418653764818,2.393382861969808,10.152323717116657,19.959461130781918,0.8477593270044097,0.5652194359367726,2.262867563979727,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
49,True,36740.41381367208,27655.72285938263,4.312665619338154,308.01430200891485,0.012128503005059861,48.66506430025379,2.712501738365814,2.5343817964310515,1.114648676277447,3.326205108429784,24.570334732375695,35.52296791364273,0.5337670818048061,0.7442772814178888,2.4231042274216836,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
17,True,36878.672681662414,27807.018058538437,1.6941760137373159,490.21025121455847,0.06696389069851875,185.01924843913775,3.8133876381527916,1.0948237639405993,0.9818312876193884,1.427315580432676,11.74159792682644,30.097870463235807,1.114283784504554,0.1976409845854038,2.3719167326927333,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
