run_id,converged,final_nll,elapsed_time,n2,N2,k,r21,r23,R21,R23,burst_size,n_inner,alpha,beta_k,beta2_k,n2_truth,N2_truth,k_truth,r21_truth,r23_truth,R21_truth,R23_truth,burst_size_truth,n_inner_truth,alpha_truth,beta_k_truth,beta2_k_truth
10,True,37.242664166273755,27.29035973548889,36.360243411325214,204.00852165963295,0.009660413787386746,0.7617962121900232,2.956817256386553,0.8670916025919178,2.710907743237971,9.195668279459964,15.465519484205798,0.5298272564065611,0.5646659813382373,0.5090781350853837,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
11,True,37.240782113654,19.899429321289062,42.34676882163005,208.04622098235095,0.005331451985887553,1.1850290109619206,1.516285566083033,0.7836643560861117,1.7072956570790714,18.597482748754366,14.131450639802383,0.8561215257924824,0.5771635023491759,0.5189281868339419,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
12,True,37.38088333476709,20.966310024261475,8.735303001768493,474.0800985700959,0.027671249950150467,1.7250487046620608,2.3173382193508596,1.1084119580630847,1.5925331054663951,6.853181347797272,14.696410616550518,0.6048103421706235,0.6239512320169436,0.4387904037424969,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
13,True,37.29032460083948,22.006950616836548,16.45332418374855,160.74907354627237,0.01651248591206734,2.21714175426923,2.948629018506489,1.4187384015681996,2.275852055000093,9.916432707968132,7.114744140616425,0.6858241195042492,0.4507254420167803,0.4211833101868199,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
14,True,37.277574049645885,18.0715012550354,12.19270494252723,446.93943293427236,0.01953545609215493,0.642276039257077,2.7133610066447824,0.7704331302447658,1.858612820053612,13.690514966170406,17.883698534170705,0.5059239767459869,0.4346829593417655,0.46512668066159124,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
15,True,37.24990991150126,20.547988414764404,29.058279232706823,294.4168474849326,0.010920510633690428,1.4728519694414621,2.783296065399552,1.0198033181019481,2.151920822941424,14.247729086026881,6.6519678695679225,0.6958479755935849,0.5176492893442519,0.5588528220312957,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
16,True,37.196400556676224,24.14702606201172,7.789896392070897,231.9563915586238,0.021196478274887187,0.9403261697670249,1.1973925261693323,0.8749427450399843,1.52293682203624,6.64218824120607,33.34581129425115,0.5775218384210318,0.5598457580081022,0.42939098877902904,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
17,True,37.411136745283905,22.243141412734985,12.363905939529449,253.00572159350207,0.01968278982903071,2.679919274195248,2.724319030052566,1.5083022148347047,2.717194304911705,10.222588665936183,9.534601960501792,0.5121144832076874,0.5572166544346573,0.5436962715523344,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
18,True,37.15706531798863,21.633410215377808,12.473572066781609,447.83677727177593,0.014058772397802044,1.0193177494810826,2.8874885365030765,0.6357441863708353,1.8571468660259955,11.825466947243564,37.64837580460223,0.3322126192947561,0.5077753190831671,0.5236653252398862,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
19,True,37.191940128076595,20.53631353378296,38.64406779361217,302.89186755418496,0.007556322398750259,1.6393644523399735,2.702932276566175,1.234633356229775,2.2751789025746154,11.72081713292518,28.685261527108985,0.5528881080021102,0.5380556045658208,0.4393621786692677,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
20,True,37.293088654489445,26.99178719520569,5.65379597118077,361.23850618585783,0.029561426808083408,1.700877601656673,1.9447152111769712,0.9330163769192051,1.4358147904787728,4.938842203145895,27.327291124217698,0.8434665854182171,0.5013959119950969,0.5359023422231644,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
21,True,37.16304323312367,22.33716893196106,10.474651156128743,401.0561701330296,0.020494803563798847,0.9478105650488626,2.951919900094055,0.8513593297377426,1.9759217989353242,9.116517282749363,19.851633078228396,0.647748765047746,0.48012557392754174,0.480840692674105,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
22,True,37.08579806650795,22.282748460769653,10.881331338458528,198.81021320492835,0.023613979561602716,0.5345169519586039,2.919471286430797,0.716834158161209,2.6573321630874553,7.411001376565685,15.330078225968311,0.3769989563642803,0.49790635533891614,0.4412607649522455,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
23,True,37.32260703159315,20.09205174446106,23.655640787710944,364.0067694227167,0.008601181126400126,1.5333415690280852,2.4795725296848676,1.1727192810331002,2.14725914590738,13.317403152898315,42.597244552726764,0.3928802516011081,0.5536380651975359,0.5407598133950016,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
24,True,37.31830830656716,17.92931342124939,18.178213433678476,230.13992585348603,0.014591849086027175,1.8689570806517735,2.7171706260513213,1.3728597968756078,2.2068778646248095,13.582931664839304,7.183700865935052,0.5043826127772466,0.537386130845544,0.38769402824385635,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
